VPC ID,VPC CIDR,Region,VPC State,Subnet,Subnet CIDR,Availability Zone,Account ID
vpc-a9e918c0,172.31.0.0/16,eu-north-1,available,subnet-0cab9b46,172.31.0.0/20,eu-north-1c,794965340553
vpc-a9e918c0,172.31.0.0/16,eu-north-1,available,subnet-e6bc4a8f,172.31.16.0/20,eu-north-1a,794965340553
vpc-a9e918c0,172.31.0.0/16,eu-north-1,available,subnet-d01001a8,172.31.32.0/20,eu-north-1b,794965340553
vpc-201cb448,172.31.0.0/16,ap-south-1,available,subnet-00ab1f68,172.31.16.0/20,ap-south-1a,794965340553
vpc-201cb448,172.31.0.0/16,ap-south-1,available,subnet-24f3105f,172.31.32.0/20,ap-south-1c,794965340553
vpc-201cb448,172.31.0.0/16,ap-south-1,available,subnet-f741a5bb,172.31.0.0/20,ap-south-1b,794965340553
vpc-bcfc53d5,172.31.0.0/16,eu-west-3,available,subnet-95e92fee,172.31.16.0/20,eu-west-3b,794965340553
vpc-bcfc53d5,172.31.0.0/16,eu-west-3,available,subnet-156e765f,172.31.32.0/20,eu-west-3c,794965340553
vpc-bcfc53d5,172.31.0.0/16,eu-west-3,available,subnet-de78d4b7,172.31.0.0/20,eu-west-3a,794965340553
vpc-35ce235d,172.31.0.0/16,eu-west-2,available,subnet-a7fbeddc,172.31.16.0/20,eu-west-2a,794965340553
vpc-35ce235d,172.31.0.0/16,eu-west-2,available,subnet-efd2f5a2,172.31.32.0/20,eu-west-2b,794965340553
vpc-35ce235d,172.31.0.0/16,eu-west-2,available,subnet-af17ccc6,172.31.0.0/20,eu-west-2c,794965340553
vpc-84a17ee2,172.31.0.0/16,eu-west-1,available,subnet-f883739e,172.31.0.0/20,eu-west-1b,794965340553
vpc-84a17ee2,172.31.0.0/16,eu-west-1,available,subnet-561b260d,172.31.32.0/20,eu-west-1a,794965340553
vpc-84a17ee2,172.31.0.0/16,eu-west-1,available,subnet-42f7300a,172.31.16.0/20,eu-west-1c,794965340553
vpc-c599f2ad,172.31.0.0/16,ap-northeast-2,available,subnet-15111349,172.31.48.0/20,ap-northeast-2d,794965340553
vpc-c599f2ad,172.31.0.0/16,ap-northeast-2,available,subnet-eb572c83,172.31.0.0/20,ap-northeast-2a,794965340553
vpc-c599f2ad,172.31.0.0/16,ap-northeast-2,available,subnet-ccd105b7,172.31.32.0/20,ap-northeast-2b,794965340553
vpc-c599f2ad,172.31.0.0/16,ap-northeast-2,available,subnet-baed44f6,172.31.16.0/20,ap-northeast-2c,794965340553
vpc-cf6ec0a8,172.31.0.0/16,ap-northeast-1,available,subnet-04074b4d,172.31.32.0/20,ap-northeast-1a,794965340553
vpc-cf6ec0a8,172.31.0.0/16,ap-northeast-1,available,subnet-d9cbe9f1,172.31.16.0/20,ap-northeast-1d,794965340553
vpc-cf6ec0a8,172.31.0.0/16,ap-northeast-1,available,subnet-dc1ea787,172.31.0.0/20,ap-northeast-1c,794965340553
vpc-a2be6ec5,172.31.0.0/16,sa-east-1,available,subnet-1e45bf57,172.31.32.0/20,sa-east-1b,794965340553
vpc-a2be6ec5,172.31.0.0/16,sa-east-1,available,subnet-2ebfe949,172.31.0.0/20,sa-east-1a,794965340553
vpc-a2be6ec5,172.31.0.0/16,sa-east-1,available,subnet-d893b580,172.31.16.0/20,sa-east-1c,794965340553
vpc-6a6e7403,172.31.0.0/16,ca-central-1,available,subnet-cfd43da7,172.31.16.0/20,ca-central-1a,794965340553
vpc-6a6e7403,172.31.0.0/16,ca-central-1,available,subnet-79183225,172.31.32.0/20,ca-central-1d,794965340553
vpc-6a6e7403,172.31.0.0/16,ca-central-1,available,subnet-b5cecace,172.31.0.0/20,ca-central-1b,794965340553
vpc-90913af7,172.31.0.0/16,ap-southeast-1,available,subnet-4c2e2d0a,172.31.0.0/20,ap-southeast-1c,794965340553
vpc-90913af7,172.31.0.0/16,ap-southeast-1,available,subnet-8f1478c6,172.31.32.0/20,ap-southeast-1b,794965340553
vpc-90913af7,172.31.0.0/16,ap-southeast-1,available,subnet-6d5e220a,172.31.16.0/20,ap-southeast-1a,794965340553
vpc-e0fe2d87,172.31.0.0/16,ap-southeast-2,available,subnet-ff7a99a7,172.31.16.0/20,ap-southeast-2c,794965340553
vpc-e0fe2d87,172.31.0.0/16,ap-southeast-2,available,subnet-6770e52e,172.31.32.0/20,ap-southeast-2b,794965340553
vpc-e0fe2d87,172.31.0.0/16,ap-southeast-2,available,subnet-ff3ca498,172.31.0.0/20,ap-southeast-2a,794965340553
vpc-8f4de1e4,172.31.0.0/16,eu-central-1,available,subnet-6a7e0901,172.31.16.0/20,eu-central-1a,794965340553
vpc-8f4de1e4,172.31.0.0/16,eu-central-1,available,subnet-3721aa7a,172.31.0.0/20,eu-central-1c,794965340553
vpc-8f4de1e4,172.31.0.0/16,eu-central-1,available,subnet-e8ce6195,172.31.32.0/20,eu-central-1b,794965340553
vpc-e439df9f,172.31.0.0/16,us-east-1,available,subnet-2f9aeb72,172.31.32.0/20,us-east-1d,794965340553
